id,name,is_closed,image_url,url,mobile_url,phone,display_phone,address,display_address,latitude,longitude,review_count,categories,rating,rating_image_url,rating_image_url_small,rating_image_url_large,snippet_image_url
celtic-coffee-company-san-francisco,Celtic Coffee Company,FALSE,http://s3-media3.fl.yelpcdn.com/bphoto/_y6sqFKXMvKbSMCVaX-ZIQ/ms.jpg,http://www.yelp.com/biz/celtic-coffee-company-san-francisco,http://m.yelp.com/biz/celtic-coffee-company-san-francisco,4152550208,1-415-255-0208,142 McAllister St,142 McAllister St,37.7809433,-122.4144406,156,Coffee & Tea,4,http://s3-media4.fl.yelpcdn.com/assets/2/www/img/c2f3dd9799a5/ico/stars/v1/stars_4.png,http://s3-media4.fl.yelpcdn.com/assets/2/www/img/f62a5be2f902/ico/stars/v1/stars_small_4.png,http://s3-media2.fl.yelpcdn.com/assets/2/www/img/ccf2b76faa2c/ico/stars/v1/stars_large_4.png,http://s3-media3.fl.yelpcdn.com/photo/KdlKdRlZcqMcvpoGCev9xQ/ms.jpg
bento-house-san-francisco,Bento House,FALSE,http://s3-media4.fl.yelpcdn.com/bphoto/JYDkg0wZBwngLa7XAgzq7Q/ms.jpg,http://www.yelp.com/biz/bento-house-san-francisco,http://m.yelp.com/biz/bento-house-san-francisco,4159281516,1-415-928-1516,448 Larkin St,448 Larkin St,37.78192,-122.4171,121,Japanese,3,http://s3-media3.fl.yelpcdn.com/assets/2/www/img/34bc8086841c/ico/stars/v1/stars_3.png,http://s3-media3.fl.yelpcdn.com/assets/2/www/img/902abeed0983/ico/stars/v1/stars_small_3.png,http://s3-media1.fl.yelpcdn.com/assets/2/www/img/e8b5b79d37ed/ico/stars/v1/stars_large_3.png,http://s3-media4.fl.yelpcdn.com/assets/srv0/yelp_styleguide/cc4afe21892e/assets/img/default_avatars/user_medium_square.png
ho-king-grill-san-francisco,Ho King Grill,FALSE,http://s3-media2.fl.yelpcdn.com/bphoto/PUxD8AHMM9NWFu23QieOJg/ms.jpg,http://www.yelp.com/biz/ho-king-grill-san-francisco,http://m.yelp.com/biz/ho-king-grill-san-francisco,4156261189,1-415-626-1189,18 7th St,18 7th St,37.780098,-122.4122696,13,Chinese,3.5,http://s3-media1.fl.yelpcdn.com/assets/2/www/img/5ef3eb3cb162/ico/stars/v1/stars_3_half.png,http://s3-media1.fl.yelpcdn.com/assets/2/www/img/2e909d5d3536/ico/stars/v1/stars_small_3_half.png,http://s3-media3.fl.yelpcdn.com/assets/2/www/img/bd9b7a815d1b/ico/stars/v1/stars_large_3_half.png,http://s3-media4.fl.yelpcdn.com/photo/TOpP-Z9c6ygsok-StRHzAA/ms.jpg
lalita-exotic-thai-cuisine-and-bar-san-francisco,Lalita Exotic Thai Cuisine & Bar,FALSE,http://s3-media3.fl.yelpcdn.com/bphoto/MnI1hCopWuIrCwBIryd1rA/ms.jpg,http://www.yelp.com/biz/lalita-exotic-thai-cuisine-and-bar-san-francisco,http://m.yelp.com/biz/lalita-exotic-thai-cuisine-and-bar-san-francisco,4155525744,1-415-552-5744,96 Mcallister St,96 Mcallister St,37.78097928,-122.4136524,227,Bars,3,http://s3-media3.fl.yelpcdn.com/assets/2/www/img/34bc8086841c/ico/stars/v1/stars_3.png,http://s3-media3.fl.yelpcdn.com/assets/2/www/img/902abeed0983/ico/stars/v1/stars_small_3.png,http://s3-media1.fl.yelpcdn.com/assets/2/www/img/e8b5b79d37ed/ico/stars/v1/stars_large_3.png,http://s3-media1.fl.yelpcdn.com/photo/lcFBw5jK2MMZXSIq4ghpAQ/ms.jpg
costco-food-court-san-francisco,Costco Food Court,FALSE,http://s3-media1.fl.yelpcdn.com/bphoto/teN7KFUn0MdfyDj5VtBi7g/ms.jpg,http://www.yelp.com/biz/costco-food-court-san-francisco,http://m.yelp.com/biz/costco-food-court-san-francisco,4156264832,1-415-626-4832,450 10th St,450 10th St,37.770489,-122.411102,121,Pizza,3.5,http://s3-media1.fl.yelpcdn.com/assets/2/www/img/5ef3eb3cb162/ico/stars/v1/stars_3_half.png,http://s3-media1.fl.yelpcdn.com/assets/2/www/img/2e909d5d3536/ico/stars/v1/stars_small_3_half.png,http://s3-media3.fl.yelpcdn.com/assets/2/www/img/bd9b7a815d1b/ico/stars/v1/stars_large_3_half.png,http://s3-media4.fl.yelpcdn.com/photo/zbtHha37ZR8URnm8hO3Z_w/ms.jpg
la-estrellita-snack-san-francisco,La Estrellita Snack,FALSE,http://s3-media2.fl.yelpcdn.com/bphoto/GEvI_yEKf_h9aQV7ciBzvg/ms.jpg,http://www.yelp.com/biz/la-estrellita-snack-san-francisco,http://m.yelp.com/biz/la-estrellita-snack-san-francisco,4153790963,1-415-379-0963,2948 Folsom St,2948 Folsom St,37.77973697,-122.4139005,5,Latin American,4,http://s3-media4.fl.yelpcdn.com/assets/2/www/img/c2f3dd9799a5/ico/stars/v1/stars_4.png,http://s3-media4.fl.yelpcdn.com/assets/2/www/img/f62a5be2f902/ico/stars/v1/stars_small_4.png,http://s3-media2.fl.yelpcdn.com/assets/2/www/img/ccf2b76faa2c/ico/stars/v1/stars_large_4.png,http://s3-media3.fl.yelpcdn.com/photo/jFnNXd7j6PUdQKZ6Pz6BsQ/ms.jpg
caf̩-at-the-opera-at-the-sfwm-san-francisco,Caf̩ at the Opera at the SFWM,FALSE,http://s3-media4.fl.yelpcdn.com/bphoto/dM0eRXM47dZM6sF2pzidSQ/ms.jpg,http://www.yelp.com/biz/caf%C3%A9-at-the-opera-at-the-sfwm-san-francisco,http://m.yelp.com/biz/caf%C3%A9-at-the-opera-at-the-sfwm-san-francisco,4158618150,1-415-861-8150,301 Van Ness Ave,301 Van Ness Ave,37.7783472,-122.4201455,20,Cafes,4,http://s3-media4.fl.yelpcdn.com/assets/2/www/img/c2f3dd9799a5/ico/stars/v1/stars_4.png,http://s3-media4.fl.yelpcdn.com/assets/2/www/img/f62a5be2f902/ico/stars/v1/stars_small_4.png,http://s3-media2.fl.yelpcdn.com/assets/2/www/img/ccf2b76faa2c/ico/stars/v1/stars_large_4.png,http://s3-media1.fl.yelpcdn.com/photo/6M-jA7AwRAWX10_t-Cdczw/ms.jpg
san-francisco-design-center-cafe-san-francisco,San Francisco Design Center Cafe,FALSE,http://s3-media1.fl.yelpcdn.com/bphoto/ExmJThQFRpdj3IX8_NqDDw/ms.jpg,http://www.yelp.com/biz/san-francisco-design-center-cafe-san-francisco,http://m.yelp.com/biz/san-francisco-design-center-cafe-san-francisco,,one,2 Henry Adams St,2 Henry Adams St,37.7692719,-122.4041595,6,Coffee & Tea,4.5,http://s3-media2.fl.yelpcdn.com/assets/2/www/img/99493c12711e/ico/stars/v1/stars_4_half.png,http://s3-media2.fl.yelpcdn.com/assets/2/www/img/a5221e66bc70/ico/stars/v1/stars_small_4_half.png,http://s3-media4.fl.yelpcdn.com/assets/2/www/img/9f83790ff7f6/ico/stars/v1/stars_large_4_half.png,http://s3-media3.fl.yelpcdn.com/photo/zKFv_ebANb7SaL7uyJMxrA/ms.jpg
diana-market-2-san-francisco,Diana Market #2,FALSE,http://s3-media3.fl.yelpcdn.com/bphoto/2q_nCaMJWcl_dx88mn264g/ms.jpg,http://www.yelp.com/biz/diana-market-2-san-francisco,http://m.yelp.com/biz/diana-market-2-san-francisco,4158633189,1-415-863-3189,282 9th St,282 9th St,37.77393512,-122.4119076,7,Delis,3.5,http://s3-media1.fl.yelpcdn.com/assets/2/www/img/5ef3eb3cb162/ico/stars/v1/stars_3_half.png,http://s3-media1.fl.yelpcdn.com/assets/2/www/img/2e909d5d3536/ico/stars/v1/stars_small_3_half.png,http://s3-media3.fl.yelpcdn.com/assets/2/www/img/bd9b7a815d1b/ico/stars/v1/stars_large_3_half.png,http://s3-media3.fl.yelpcdn.com/photo/aBe_lRh7rkYUy03DOu__Fw/ms.jpg
momos-san-francisco-4,MOMOs,FALSE,http://s3-media2.fl.yelpcdn.com/bphoto/GobPEnZ9KCjMThIBxHi-HQ/ms.jpg,http://www.yelp.com/biz/momos-san-francisco-4,http://m.yelp.com/biz/momos-san-francisco-4,,one,1197 8th St,1197 8th St,37.77520327,-122.4096896,1,Mongolian,4,http://s3-media4.fl.yelpcdn.com/assets/2/www/img/c2f3dd9799a5/ico/stars/v1/stars_4.png,http://s3-media4.fl.yelpcdn.com/assets/2/www/img/f62a5be2f902/ico/stars/v1/stars_small_4.png,http://s3-media2.fl.yelpcdn.com/assets/2/www/img/ccf2b76faa2c/ico/stars/v1/stars_large_4.png,http://s3-media4.fl.yelpcdn.com/photo/DJQOa50HwO7xs2pyIz6Uww/ms.jpg
l-and-m-cafe-san-francisco,L & M Cafe,FALSE,http://s3-media4.fl.yelpcdn.com/bphoto/t_qklC99PIUwOxH6CTHT-A/ms.jpg,http://www.yelp.com/biz/l-and-m-cafe-san-francisco,http://m.yelp.com/biz/l-and-m-cafe-san-francisco,4152521027,1-415-252-1027,1081 Market St,1081 Market St,37.78078079,-122.4120605,13,Chinese,3.5,http://s3-media1.fl.yelpcdn.com/assets/2/www/img/5ef3eb3cb162/ico/stars/v1/stars_3_half.png,http://s3-media1.fl.yelpcdn.com/assets/2/www/img/2e909d5d3536/ico/stars/v1/stars_small_3_half.png,http://s3-media3.fl.yelpcdn.com/assets/2/www/img/bd9b7a815d1b/ico/stars/v1/stars_large_3_half.png,http://s3-media3.fl.yelpcdn.com/photo/AHf5BFbSENSFg4wa1vgRKg/ms.jpg
cassia-san-francisco,Cassia,FALSE,http://s3-media2.fl.yelpcdn.com/bphoto/lEJOtjcDGCcd33lYaLMUpw/ms.jpg,http://www.yelp.com/biz/cassia-san-francisco,http://m.yelp.com/biz/cassia-san-francisco,8553283854,1-855-328-3854,1028 Market St,1028 Market St,37.7818794,-122.4113235,10,Moroccan,3.5,http://s3-media1.fl.yelpcdn.com/assets/2/www/img/5ef3eb3cb162/ico/stars/v1/stars_3_half.png,http://s3-media1.fl.yelpcdn.com/assets/2/www/img/2e909d5d3536/ico/stars/v1/stars_small_3_half.png,http://s3-media3.fl.yelpcdn.com/assets/2/www/img/bd9b7a815d1b/ico/stars/v1/stars_large_3_half.png,http://s3-media2.fl.yelpcdn.com/photo/dSmCx7yJeM09h2cZKAugqQ/ms.jpg
daily-press-san-francisco,Daily Press,FALSE,http://s3-media2.fl.yelpcdn.com/bphoto/VxlUJMYha37pbMYzgG0OUg/ms.jpg,http://www.yelp.com/biz/daily-press-san-francisco,http://m.yelp.com/biz/daily-press-san-francisco,,one,277 Golden Gate Ave,277 Golden Gate Ave,37.781425,-122.414925,6,Cafes,4,http://s3-media4.fl.yelpcdn.com/assets/2/www/img/c2f3dd9799a5/ico/stars/v1/stars_4.png,http://s3-media4.fl.yelpcdn.com/assets/2/www/img/f62a5be2f902/ico/stars/v1/stars_small_4.png,http://s3-media2.fl.yelpcdn.com/assets/2/www/img/ccf2b76faa2c/ico/stars/v1/stars_large_4.png,http://s3-media4.fl.yelpcdn.com/photo/N_XLIaN8SdlBZffKi6W6oQ/ms.jpg
el-p�_pila-san-francisco-2,El P�_pila,FALSE,http://s3-media4.fl.yelpcdn.com/bphoto/iuV3xJKMy-w-0WKmMAAi0A/ms.jpg,http://www.yelp.com/biz/el-p%C3%ADpila-san-francisco-2,http://m.yelp.com/biz/el-p%C3%ADpila-san-francisco-2,5106849456,1-510-684-9456,1028 Market St,1028 Market St,37.78081018,-122.4122546,6,Food Trucks,3,http://s3-media3.fl.yelpcdn.com/assets/2/www/img/34bc8086841c/ico/stars/v1/stars_3.png,http://s3-media3.fl.yelpcdn.com/assets/2/www/img/902abeed0983/ico/stars/v1/stars_small_3.png,http://s3-media1.fl.yelpcdn.com/assets/2/www/img/e8b5b79d37ed/ico/stars/v1/stars_large_3.png,http://s3-media3.fl.yelpcdn.com/photo/SskEonI3Vm9px2l3k1UqgA/ms.jpg
subs-on-hubs-san-francisco-2,Subs on Hubs,FALSE,http://s3-media4.fl.yelpcdn.com/bphoto/tSmgCCnsxKuSx291wFWEnw/ms.jpg,http://www.yelp.com/biz/subs-on-hubs-san-francisco-2,http://m.yelp.com/biz/subs-on-hubs-san-francisco-2,,one,Brannan at 9th St,Brannan at 9th St,37.77006199,-122.4069936,50,Sandwiches,3,http://s3-media3.fl.yelpcdn.com/assets/2/www/img/34bc8086841c/ico/stars/v1/stars_3.png,http://s3-media3.fl.yelpcdn.com/assets/2/www/img/902abeed0983/ico/stars/v1/stars_small_3.png,http://s3-media1.fl.yelpcdn.com/assets/2/www/img/e8b5b79d37ed/ico/stars/v1/stars_large_3.png,http://s3-media4.fl.yelpcdn.com/assets/srv0/yelp_styleguide/cc4afe21892e/assets/img/default_avatars/user_medium_square.png
fuel-lounge-san-francisco-san-francisco,FUEL Lounge San Francisco,FALSE,http://s3-media3.fl.yelpcdn.com/bphoto/VZ8TP_ieI7BfbTVnZuaqEQ/ms.jpg,http://www.yelp.com/biz/fuel-lounge-san-francisco-san-francisco,http://m.yelp.com/biz/fuel-lounge-san-francisco-san-francisco,4158611631,1-415-861-1631,1108 Market St,1108 Market St,37.7807655,-122.4123688,7,Italian,3.5,http://s3-media1.fl.yelpcdn.com/assets/2/www/img/5ef3eb3cb162/ico/stars/v1/stars_3_half.png,http://s3-media1.fl.yelpcdn.com/assets/2/www/img/2e909d5d3536/ico/stars/v1/stars_small_3_half.png,http://s3-media3.fl.yelpcdn.com/assets/2/www/img/bd9b7a815d1b/ico/stars/v1/stars_large_3_half.png,http://s3-media1.fl.yelpcdn.com/photo/K8uTGNGjuVg003oE3RCAWQ/ms.jpg
fortress-solitude-and-san-francisco-pop-up-san-francisco,Fortress: Solitude & San Francisco Pop Up,FALSE,http://s3-media1.fl.yelpcdn.com/bphoto/-ryNTSiG3SuKiNBoNE1rnQ/ms.jpg,http://www.yelp.com/biz/fortress-solitude-and-san-francisco-pop-up-san-francisco,http://m.yelp.com/biz/fortress-solitude-and-san-francisco-pop-up-san-francisco,,one,"Inside 20th Century Cafe', u'198 Gough St",Inside 20th Century Cafe,37.7750315,-122.422605,1,American (New),5,http://s3-media1.fl.yelpcdn.com/assets/2/www/img/f1def11e4e79/ico/stars/v1/stars_5.png,http://s3-media1.fl.yelpcdn.com/assets/2/www/img/c7623205d5cd/ico/stars/v1/stars_small_5.png,http://s3-media3.fl.yelpcdn.com/assets/2/www/img/22affc4e6c38/ico/stars/v1/stars_large_5.png,http://s3-media3.fl.yelpcdn.com/photo/JKDpyolWxZ8iLXFkpjEdFA/ms.jpg
sf-soupmobile-san-francisco-3,SF Soupmobile,FALSE,http://s3-media1.fl.yelpcdn.com/bphoto/6E3_ejMdR4NqKFlcFfMtTA/ms.jpg,http://www.yelp.com/biz/sf-soupmobile-san-francisco-3,http://m.yelp.com/biz/sf-soupmobile-san-francisco-3,4158691585,1-415-869-1585,451 6th St,451 6th St,37.7768288,-122.4029617,9,Soup,3.5,http://s3-media1.fl.yelpcdn.com/assets/2/www/img/5ef3eb3cb162/ico/stars/v1/stars_3_half.png,http://s3-media1.fl.yelpcdn.com/assets/2/www/img/2e909d5d3536/ico/stars/v1/stars_small_3_half.png,http://s3-media3.fl.yelpcdn.com/assets/2/www/img/bd9b7a815d1b/ico/stars/v1/stars_large_3_half.png,http://s3-media3.fl.yelpcdn.com/photo/3l6hr00ciC0bwIVRXzNH5Q/ms.jpg
para-bellum-verde-san-francisco,Para Bellum Verde,FALSE,http://s3-media2.fl.yelpcdn.com/bphoto/yj9KAgcAzRR8h8jqbSSftg/ms.jpg,http://www.yelp.com/biz/para-bellum-verde-san-francisco,http://m.yelp.com/biz/para-bellum-verde-san-francisco,4152527735,1-415-252-7735,1051 Market St,1051 Market St,37.78125,-122.4113007,2,American (Traditional),4,http://s3-media4.fl.yelpcdn.com/assets/2/www/img/c2f3dd9799a5/ico/stars/v1/stars_4.png,http://s3-media4.fl.yelpcdn.com/assets/2/www/img/f62a5be2f902/ico/stars/v1/stars_small_4.png,http://s3-media2.fl.yelpcdn.com/assets/2/www/img/ccf2b76faa2c/ico/stars/v1/stars_large_4.png,http://s3-media3.fl.yelpcdn.com/photo/AHf5BFbSENSFg4wa1vgRKg/ms.jpg
hotel-whitcomb-restaurant-san-francisco,Hotel Whitcomb Restaurant,FALSE,http://s3-media3.fl.yelpcdn.com/bphoto/LnuuvFy-j1ZJU4LCbCPG2g/ms.jpg,http://www.yelp.com/biz/hotel-whitcomb-restaurant-san-francisco,http://m.yelp.com/biz/hotel-whitcomb-restaurant-san-francisco,,one,1231 Market St,1231 Market St,37.77842246,-122.4150612,25,Restaurants,2.5,http://s3-media4.fl.yelpcdn.com/assets/2/www/img/c7fb9aff59f9/ico/stars/v1/stars_2_half.png,http://s3-media4.fl.yelpcdn.com/assets/2/www/img/8e8633e5f8f0/ico/stars/v1/stars_small_2_half.png,http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d63e3add9901/ico/stars/v1/stars_large_2_half.png,http://s3-media2.fl.yelpcdn.com/photo/E2Im_RrJ6yGpG1akhmIJNg/ms.jpg
taqueria-la-paz-san-francisco-2,Taqueria La Paz,FALSE,http://s3-media1.fl.yelpcdn.com/bphoto/xK3u5eumkSKZm_qRETkkyw/ms.jpg,http://www.yelp.com/biz/taqueria-la-paz-san-francisco-2,http://m.yelp.com/biz/taqueria-la-paz-san-francisco-2,4156737550,1-415-673-7550,305 Turk St,305 Turk St,37.7826251,-122.4142609,24,Mexican,3.5,http://s3-media1.fl.yelpcdn.com/assets/2/www/img/5ef3eb3cb162/ico/stars/v1/stars_3_half.png,http://s3-media1.fl.yelpcdn.com/assets/2/www/img/2e909d5d3536/ico/stars/v1/stars_small_3_half.png,http://s3-media3.fl.yelpcdn.com/assets/2/www/img/bd9b7a815d1b/ico/stars/v1/stars_large_3_half.png,http://s3-media2.fl.yelpcdn.com/photo/E3fwWw8t24MTC3W5286UYg/ms.jpg
sf-pizza-san-francisco,SF Pizza,FALSE,http://s3-media1.fl.yelpcdn.com/bphoto/3ySAW5Yq8h4VXGOU1hnN5w/ms.jpg,http://www.yelp.com/biz/sf-pizza-san-francisco,http://m.yelp.com/biz/sf-pizza-san-francisco,4154310800,1-415-431-0800,1270 Mission St,1270 Mission St,37.7767319,-122.4143235,61,Pizza,2.5,http://s3-media4.fl.yelpcdn.com/assets/2/www/img/c7fb9aff59f9/ico/stars/v1/stars_2_half.png,http://s3-media4.fl.yelpcdn.com/assets/2/www/img/8e8633e5f8f0/ico/stars/v1/stars_small_2_half.png,http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d63e3add9901/ico/stars/v1/stars_large_2_half.png,http://s3-media3.fl.yelpcdn.com/photo/mSD3Zaf3l6tNUp48ONR_Ig/ms.jpg
maxs-opera-cafe-san-francisco-2,Max's Opera Cafe,FALSE,http://s3-media1.fl.yelpcdn.com/bphoto/0DdrQ-h1fqjeC5rmj07TTA/ms.jpg,http://www.yelp.com/biz/maxs-opera-cafe-san-francisco-2,http://m.yelp.com/biz/maxs-opera-cafe-san-francisco-2,4157717300,1-415-771-7300,601 Van Ness Ave,601 Van Ness Ave,37.781161,-122.4208641,581,American (New),3,http://s3-media3.fl.yelpcdn.com/assets/2/www/img/34bc8086841c/ico/stars/v1/stars_3.png,http://s3-media3.fl.yelpcdn.com/assets/2/www/img/902abeed0983/ico/stars/v1/stars_small_3.png,http://s3-media1.fl.yelpcdn.com/assets/2/www/img/e8b5b79d37ed/ico/stars/v1/stars_large_3.png,http://s3-media1.fl.yelpcdn.com/photo/FZmk4HDtKZiFoTzXuvJpiA/ms.jpg
